team_name,player_name,player_id,role,bowling_arm,bowling_type,batting_hand,batter_classification,bowler_classification,batter_tags,bowler_tags,is_captain
Kolkata Knight Riders,Harshit Rana,77b1aa15,Bowler,Right-arm,Fast,Right-hand,,Expensive Option,,PART_TIMER|PRESSURE_BUILDER
Kolkata Knight Riders,Vaibhav Arora,7c3b3b78,Bowler,Right-arm,Fast,Right-hand,,Expensive Option,,PART_TIMER
Kolkata Knight Riders,Kartik Tyagi,5d2eea49,Bowler,Right-arm,Fast,Right-hand,,Expensive Option,,PART_TIMER
Delhi Capitals,Mukesh Kumar,2cffab74,Bowler,Right-arm,Fast,Right-hand,,Expensive Option,,PART_TIMER
Delhi Capitals,Dushmantha Chameera,327b58d3,Bowler,Right-arm,Fast,Right-hand,,Expensive Option,,PART_TIMER|PRESSURE_BUILDER
Punjab Kings,Marco Jansen,81c36ee9,All-rounder,Left-arm,Fast,Left-hand,,Expensive Option,,PART_TIMER|PRESSURE_BUILDER
Punjab Kings,Yash Thakur,4b31f3a3,Bowler,Right-arm,Fast,Right-hand,,Expensive Option,,PART_TIMER
Rajasthan Royals,Tushar Deshpande,46a9bea1,Bowler,Right-arm,Fast,Right-hand,,Expensive Option,,PART_TIMER
Sunrisers Hyderabad,Travis Head,12b610c2,Batter,Left-arm,Left-arm orthodox,Left-hand,Aggressive Opener,,EXPLOSIVE_OPENER|PP_DOMINATOR|MIDDLE_OVERS_ACCELERATOR|DEATH_SPECIALIST|CONSISTENT,
Sunrisers Hyderabad,Abhishek Sharma,f29185a1,All-rounder,Left-arm,Left-arm orthodox,Left-hand,Aggressive Opener,,EXPLOSIVE_OPENER|PP_DOMINATOR|MIDDLE_OVERS_ACCELERATOR|SPIN_SPECIALIST,WORKHORSE
Lucknow Super Giants,Nicholas Pooran,3241e3fd,Wicketkeeper,Right-arm,Medium,Left-hand,Aggressive Opener,,FINISHER|MIDDLE_OVERS_ACCELERATOR|CONSISTENT|SPIN_SPECIALIST,
Mumbai Indians,Rohit Sharma,740742ef,Batter,Right-arm,Off-spin,Right-hand,All-Round Finisher,,MIDDLE_ORDER|DEATH_SPECIALIST|SIX_HITTER,WORKHORSE
Royal Challengers Bengaluru,Devdutt Padikkal,2c25d4f5,Batter,Right-arm,Medium,Left-hand,All-Round Finisher,,ANCHOR,
Royal Challengers Bengaluru,Venkatesh Iyer,a24be938,All-rounder,Right-arm,Medium,Left-hand,All-Round Finisher,,PLAYMAKER,
Kolkata Knight Riders,Rahul Tripathi,77255a9e,Batter,Right-arm,Leg-spin,Right-hand,All-Round Finisher,,PLAYMAKER,
Delhi Capitals,Karun Nair,944533a5,Batter,Right-arm,Off-spin,Right-hand,All-Round Finisher,,MIDDLE_ORDER,
Delhi Capitals,Nitish Rana,fb2d1dda,Batter,Left-arm,Left-arm orthodox,Left-hand,All-Round Finisher,,MIDDLE_ORDER|DEATH_SPECIALIST|SIX_HITTER,
Kolkata Knight Riders,Manish Pandey,93b4fc78,Batter,Right-arm,Medium,Right-hand,Anchor,,MIDDLE_ORDER,
Delhi Capitals,David Miller,d67d5f00,Batter,Right-arm,Off-spin,Left-hand,Anchor,,FINISHER|CONSISTENT,
Chennai Super Kings,Ruturaj Gaikwad,45a43fe2,Batter,Right-arm,Medium,Right-hand,Elite Top-Order,,PLAYMAKER|MIDDLE_OVERS_ACCELERATOR|CONSISTENT,,TRUE
Mumbai Indians,Tilak Varma,b0482a1d,All-rounder,Right-arm,Off-spin,Left-hand,Elite Top-Order,,MIDDLE_ORDER|DEATH_SPECIALIST|SIX_HITTER|CONSISTENT,
Royal Challengers Bengaluru,Virat Kohli,ba607b88,Batter,Right-arm,Medium,Right-hand,Elite Top-Order,,MIDDLE_ORDER|DEATH_SPECIALIST|CONSISTENT,WORKHORSE
Kolkata Knight Riders,Ajinkya Rahane,29e95537,Batter,Right-arm,Medium,Right-hand,Elite Top-Order,,ANCHOR,,TRUE
Delhi Capitals,KL Rahul,b17e2f24,Wicketkeeper,Right-arm,Medium,Right-hand,Elite Top-Order,,PLAYMAKER|CONSISTENT,
Punjab Kings,Shreyas Iyer,85ec8e33,Batter,Right-arm,Leg-spin,Right-hand,Elite Top-Order,,MIDDLE_ORDER|DEATH_SPECIALIST,,TRUE
Gujarat Titans,Shubman Gill,b4b99816,Batter,Right-arm,Off-spin,Right-hand,Elite Top-Order,,PLAYMAKER|MIDDLE_OVERS_ACCELERATOR|CONSISTENT,,TRUE
Gujarat Titans,Sai Sudharsan,d5130a30,Batter,Right-arm,Medium,Left-hand,Elite Top-Order,,EXPLOSIVE_OPENER|MIDDLE_OVERS_ACCELERATOR|DEATH_SPECIALIST|SIX_HITTER|CONSISTENT|SPIN_SPECIALIST,
Lucknow Super Giants,Aiden Markram,6a26221c,All-rounder,Right-arm,Off-spin,Right-hand,Elite Top-Order,,MIDDLE_ORDER|DEATH_SPECIALIST,
Chennai Super Kings,Sanju Samson,a4cc73aa,Wicketkeeper,Right-arm,Medium,Right-hand,Power Finisher,,MIDDLE_ORDER|DEATH_SPECIALIST|SIX_HITTER,
Mumbai Indians,Suryakumar Yadav,271f83cd,Batter,Right-arm,Off-spin,Right-hand,Power Finisher,,MIDDLE_ORDER|MIDDLE_OVERS_ACCELERATOR|DEATH_SPECIALIST|SIX_HITTER|CONSISTENT|PACE_SPECIALIST,
Mumbai Indians,Quinton de Kock,372455c4,Wicketkeeper,Right-arm,Medium,Left-hand,Power Finisher,,PLAYMAKER|DEATH_SPECIALIST|SIX_HITTER,
Royal Challengers Bengaluru,Rajat Patidar,c740ea83,Batter,Right-arm,Off-spin,Right-hand,Power Finisher,,MIDDLE_ORDER|MIDDLE_OVERS_ACCELERATOR|DEATH_SPECIALIST|SIX_HITTER|SPIN_SPECIALIST,,TRUE
