bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,economy_diff,strike_rate_diff,lhb_wickets_per_ball,rhb_wickets_per_ball,wickets_per_ball_diff,handedness_tags
a9fd84fb,M Markande,115,9.7,28.75,4.0,159,8.79,15.9,10.0,0.9100000000000001,12.85,0.034782608695652174,0.06289308176100629,-0.028110473065354115,RHB_WICKET_TAKER
64839cb3,M Pathirana,213,8.99,10.14,21.0,340,9.41,15.45,22.0,-0.41999999999999993,-5.309999999999999,0.09859154929577464,0.06470588235294118,0.03388566694283346,LHB_WICKET_TAKER
85e0cf10,M Prasidh Krishna,107,6.84,11.89,9.0,218,9.03,13.63,16.0,-2.1899999999999995,-1.7400000000000002,0.08411214953271028,0.07339449541284404,0.010717654119866235,"LHB_SPECIALIST, RHB_VULNERABLE"
f24c6701,M Theekshana,240,8.23,26.67,9.0,296,9.1,37.0,8.0,-0.8699999999999992,-10.329999999999998,0.0375,0.02702702702702703,0.01047297297297297,
3fb19989,MA Starc,132,10.45,9.43,14.0,274,11.26,17.13,16.0,-0.8100000000000005,-7.699999999999999,0.10606060606060606,0.058394160583941604,0.04766644547666446,LHB_WICKET_TAKER
e4a0deae,MJ Santner,79,9.34,39.5,2.0,239,7.76,21.73,11.0,1.58,17.77,0.02531645569620253,0.04602510460251046,-0.02070864890630793,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
bb351c23,MM Ali,119,6.45,19.83,6.0,114,10.68,28.5,4.0,-4.2299999999999995,-8.670000000000002,0.05042016806722689,0.03508771929824561,0.01533244876898128,"LHB_SPECIALIST, RHB_VULNERABLE"
759ac88f,MM Sharma,197,10.42,19.7,10.0,335,9.9,13.96,24.0,0.5199999999999996,5.739999999999998,0.050761421319796954,0.07164179104477612,-0.02088036972497917,RHB_WICKET_TAKER
d9273ee7,MP Stoinis,102,11.18,17.0,6.0,95,9.85,23.75,4.0,1.33,-6.75,0.058823529411764705,0.042105263157894736,0.01671826625386997,"RHB_SPECIALIST, LHB_VULNERABLE"
8cf9814c,Mohammed Shami,193,9.36,24.13,8.0,251,9.56,17.93,14.0,-0.20000000000000107,6.199999999999999,0.04145077720207254,0.055776892430278883,-0.014326115228206343,
