bowler_id,bowler_name,powerplay_overs,powerplay_economy,powerplay_wickets,middle_overs,middle_economy,middle_wickets,death_overs,death_economy,death_wickets,phase_tags
e186f49c,Mashrafe Mortaza,2.0,13.0,0.0,0.0,,0.0,2.0,16.5,1.0,
a457cfb5,Mayank Dagar,2.0,14.5,0.0,18.0,8.56,2.0,2.8,7.76,0.0,
e03b66ec,Mohammad Asif,15.0,9.8,3.0,7.0,7.71,1.0,10.0,10.6,5.0,
9ab63e7b,Mohammad Hafeez,0.0,,0.0,10.0,7.1,2.0,0.0,,0.0,
62af8546,Mohammad Nabi,28.0,6.39,7.0,38.0,8.24,6.0,3.5,10.0,2.0,
8cf9814c,Mohammed Shami,245.0,7.96,55.0,77.0,8.61,17.0,112.5,10.79,77.0,"MIDDLE_OVERS_LIABILITY, DEATH_LIABILITY"
2f49c897,Mohammed Siraj,197.0,8.58,46.0,75.0,7.79,21.0,111.3,10.42,45.0,
9a5f2863,Mohit Rathee,0.0,,0.0,2.0,14.5,0.0,0.0,,0.0,
c33d8116,Mohsin Khan,39.0,8.08,11.0,19.0,7.63,5.0,23.0,10.35,11.0,
fb24e76c,Monu Kumar,1.0,7.0,0.0,0.0,,0.0,1.0,13.0,0.0,
7d92277a,Mujeeb Ur Rahman,23.3,7.8,5.0,39.0,7.74,11.0,12.0,11.83,5.0,
765a4731,Mukesh Choudhary,37.0,9.43,12.0,7.0,8.86,3.0,8.5,13.18,2.0,
2cffab74,Mukesh Kumar,44.0,9.0,10.0,22.0,9.36,11.0,40.0,12.9,24.0,DEATH_LIABILITY
d621b427,Musheer Khan,0.0,,0.0,2.0,13.5,1.0,0.0,,0.0,
0a8fce53,Mustafizur Rahman,77.2,7.27,17.0,54.3,7.84,16.0,96.0,9.29,41.0,
465aa633,N Burger,10.0,10.5,4.0,4.0,8.5,2.0,3.0,4.33,1.0,
fb2d1dda,N Rana,4.2,8.88,0.0,24.0,8.63,8.0,3.8,7.04,2.0,
ee1b6c27,N Thushara,16.0,9.31,7.0,3.0,11.0,0.0,11.0,9.73,2.0,
d1a60072,N Wadhera,0.0,,0.0,2.0,6.5,0.0,0.8,10.8,0.0,
b822e99c,NB Singh,4.0,4.5,1.0,0.0,,0.0,0.0,,0.0,
6ec424a9,ND Doshi,3.0,10.67,1.0,4.3,8.31,0.0,2.0,5.5,1.0,
6042bf26,NJ Rimmington,2.0,7.0,0.0,1.0,6.0,0.0,0.0,,0.0,
5673a3fc,NL McCullum,2.0,6.0,0.0,3.0,7.67,0.0,0.0,,0.0,
0f12f9df,NLTC Perera,30.0,7.43,6.0,48.0,7.69,10.0,38.3,11.45,21.0,DEATH_LIABILITY
56ab442f,NM Coulter-Nile,60.0,7.35,15.0,41.5,6.89,11.0,41.3,9.63,26.0,
9eb1455b,NT Ellis,17.0,7.12,4.0,23.0,7.91,6.0,23.0,10.87,10.0,
fffa744b,Naman Dhir,1.0,6.0,0.0,5.7,10.94,0.0,2.0,4.0,1.0,
21d4e29b,Navdeep Saini,46.0,8.54,8.0,33.0,9.09,5.0,30.7,9.88,12.0,
c0c411cb,Naveen-ul-Haq,24.0,9.67,6.0,14.0,7.43,8.0,26.7,9.98,12.0,
aad0c365,Nithish Kumar Reddy,3.0,9.33,0.0,15.0,9.93,2.0,5.2,15.1,6.0,
efc04be7,Noor Ahmad,9.0,8.56,2.0,101.8,8.18,33.0,21.2,8.41,13.0,
c6097d68,O Thomas,6.0,9.67,2.0,2.0,4.5,1.0,2.0,9.0,2.0,
