batter_id,batter_name,innings,total_runs,total_balls,avg_runs,stddev_runs,cv_runs,overall_sr,avg_innings_sr,stddev_sr,boundary_pct,high_impact_innings,high_impact_pct,single_digit_dismissals,failure_rate,consistency_index,quality_multiplier,weighted_consistency
9418198b,P Simran Singh,31,1205.0,744.0,38.87096774193548,23.88107893964467,0.614,161.96,158.13,42.01,25.4,17.0,54.8,1.0,3.4,38.6,1.2,46.3
b5797845,Priyansh Arya,12,514.0,263.0,42.833333333333336,26.349678471578276,0.615,195.44,188.98,42.2,33.08,6.0,50.0,0.0,0.0,38.5,1.2,46.2
a4cc73aa,SV Samson,31,1158.0,751.0,37.354838709677416,23.13989487122629,0.619,154.19,143.81,33.06,21.04,17.0,54.8,0.0,0.0,38.1,1.2,45.7
73c18486,KR Mayers,11,379.0,253.0,34.45454545454545,21.34293000403236,0.619,149.8,141.57,68.43,23.72,5.0,45.5,1.0,9.1,38.1,1.1,41.9
740742ef,RG Sharma,27,1068.0,705.0,39.55555555555556,24.792969931508633,0.627,151.49,144.74,38.05,23.69,14.0,51.9,1.0,4.0,37.3,1.2,44.8
99b75528,JC Buttler,28,1265.0,823.0,45.17857142857143,28.490667107754742,0.631,153.71,146.41,42.37,21.39,19.0,67.9,1.0,4.5,36.9,1.2,44.3
73ad96ed,DJ Hooda,10,186.0,157.0,18.6,11.85073837362044,0.637,118.47,112.8,36.77,11.46,1.0,10.0,2.0,22.2,36.3,0.8,29.0
372455c4,Q de Kock,11,480.0,340.0,43.63636363636363,27.974900202186852,0.641,141.18,134.34,28.17,19.12,5.0,45.5,1.0,10.0,35.9,1.1,39.5
752f7486,Ishan Kishan,29,1074.0,698.0,37.03448275862069,23.882590338658524,0.645,153.87,146.91,48.35,23.5,17.0,58.6,0.0,0.0,35.5,1.2,42.6
04a418e8,R Parag,28,1001.0,646.0,35.75,23.12639957154717,0.647,154.95,150.25,43.4,20.12,15.0,53.6,3.0,13.6,35.3,1.2,42.4
77255a9e,RA Tripathi,16,439.0,349.0,27.4375,17.744607455506028,0.647,125.79,123.97,49.43,17.48,6.0,37.5,2.0,14.3,35.3,0.9,31.8
5b8c830e,KH Pandya,13,352.0,276.0,27.076923076923077,17.521246612048945,0.647,127.54,122.35,30.27,13.77,4.0,30.8,1.0,12.5,35.3,0.9,31.8
9d430b40,SP Narine,16,685.0,368.0,42.8125,27.964751809197235,0.653,186.14,176.84,45.83,32.34,9.0,56.3,0.0,0.0,34.7,1.2,41.6
