batter_id,batter_name,bowling_type,balls,runs,dismissals,fours,sixes,dot_balls,strike_rate,average,dot_pct,boundary_pct
2ed569a0,RD Chahar,Right-arm pace,10,5.0,1.0,1.0,0.0,8.0,50.0,5.0,80.0,10.0
45a43fe2,RD Gaikwad,Fast-Medium,239,317.0,6.0,40.0,5.0,87.0,132.64,52.83,36.4,18.83
45a43fe2,RD Gaikwad,LA Orthodox,62,106.0,1.0,11.0,5.0,16.0,170.97,106.0,25.81,25.81
45a43fe2,RD Gaikwad,Left-arm orthodox,12,18.0,1.0,3.0,0.0,4.0,150.0,18.0,33.33,25.0
45a43fe2,RD Gaikwad,Left-arm pace,90,136.0,3.0,10.0,8.0,32.0,151.11,45.33,35.56,20.0
45a43fe2,RD Gaikwad,Right-arm leg-spin,90,121.0,4.0,9.0,4.0,24.0,134.44,30.25,26.67,14.44
45a43fe2,RD Gaikwad,Right-arm off-spin,40,50.0,1.0,2.0,2.0,11.0,125.0,50.0,27.5,10.0
45a43fe2,RD Gaikwad,Right-arm pace,127,165.0,2.0,14.0,5.0,43.0,129.92,82.5,33.86,14.96
45a43fe2,RD Gaikwad,Wrist-spin,27,45.0,2.0,2.0,3.0,5.0,166.67,22.5,18.52,18.52
e66732f8,RD Rickelton,Fast-Medium,69,97.0,5.0,16.0,1.0,31.0,140.58,19.4,44.93,24.64
e66732f8,RD Rickelton,LA Orthodox,4,2.0,1.0,0.0,0.0,2.0,50.0,2.0,50.0,0.0
e66732f8,RD Rickelton,Left-arm pace,21,32.0,1.0,7.0,0.0,10.0,152.38,32.0,47.62,33.33
e66732f8,RD Rickelton,Right-arm leg-spin,28,47.0,1.0,3.0,4.0,10.0,167.86,47.0,35.71,25.0
e66732f8,RD Rickelton,Right-arm off-spin,21,35.0,0.0,2.0,3.0,7.0,166.67,,33.33,23.81
e66732f8,RD Rickelton,Right-arm pace,51,94.0,2.0,11.0,5.0,17.0,184.31,47.0,33.33,31.37
e66732f8,RD Rickelton,Wrist-spin,5,4.0,2.0,0.0,0.0,2.0,80.0,2.0,40.0,0.0
740742ef,RG Sharma,Fast-Medium,215,273.0,14.0,23.0,18.0,107.0,126.98,19.5,49.77,19.07
740742ef,RG Sharma,LA Orthodox,91,123.0,3.0,12.0,5.0,30.0,135.16,41.0,32.97,18.68
