bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,lhb_wickets_per_ball,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,rhb_wickets_per_ball,economy_diff,wickets_per_ball_diff,handedness_tags
8cf9814c,Mohammed Shami,185,9.28,23.13,8.0,0.0432,269,9.72,17.93,15.0,0.0558,-0.4400000000000013,-0.0126,
2f49c897,Mohammed Siraj,368,9.28,20.44,18.0,0.0489,445,9.22,19.35,23.0,0.0517,0.05999999999999872,-0.002800000000000004,
c33d8116,Mohsin Khan,73,10.52,14.6,5.0,0.0685,162,10.89,27.0,6.0,0.037,-0.370000000000001,0.03150000000000001,"LHB_WICKET_TAKER, LHB_PRESSURE"
2cffab74,Mukesh Kumar,219,10.27,13.69,16.0,0.0731,307,11.14,13.95,22.0,0.0717,-0.870000000000001,0.0013999999999999985,
0a8fce53,Mustafizur Rahman,98,8.2,16.33,6.0,0.0612,153,9.65,17.0,9.0,0.0588,-1.450000000000001,0.0023999999999999994,"LHB_SPECIALIST, RHB_VULNERABLE"
ee1b6c27,N Thushara,71,8.45,35.5,2.0,0.0282,95,10.23,13.57,7.0,0.0737,-1.7800000000000011,-0.0455,"LHB_SPECIALIST, RHB_VULNERABLE, RHB_WICKET_TAKER"
9eb1455b,NT Ellis,98,7.47,24.5,4.0,0.0408,107,10.26,21.4,5.0,0.0467,-2.79,-0.0058999999999999955,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
c0c411cb,Naveen-ul-Haq,124,9.97,20.67,6.0,0.0484,196,9.58,12.25,16.0,0.0816,0.39000000000000057,-0.03320000000000001,RHB_WICKET_TAKER
efc04be7,Noor Ahmad,237,7.57,13.94,17.0,0.0717,466,8.23,17.92,26.0,0.0558,-0.6600000000000001,0.015899999999999997,LHB_PRESSURE
ded9240e,PJ Cummins,222,9.14,27.75,8.0,0.036,336,9.09,17.68,19.0,0.0565,0.05000000000000071,-0.020500000000000004,RHB_WICKET_TAKER
98ae73b1,PP Chawla,154,9.12,17.11,9.0,0.0584,247,8.45,14.53,17.0,0.0688,0.6699999999999999,-0.0104,
a97c8ec2,PWH de Silva,100,10.5,20.0,5.0,0.05,277,9.18,21.31,13.0,0.0469,1.3200000000000003,0.0031000000000000055,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
495d42a5,R Ashwin,275,8.86,30.56,9.0,0.0327,359,8.97,32.64,11.0,0.0306,-0.11000000000000121,0.002100000000000001,LHB_PRESSURE
c7a995d3,R Sai Kishore,69,11.91,23.0,3.0,0.0435,266,9.07,14.0,19.0,0.0714,2.84,-0.027900000000000008,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER, RHB_PRESSURE"
fe93fd9d,RA Jadeja,248,8.69,22.55,11.0,0.0444,445,7.67,21.19,21.0,0.0472,1.0199999999999996,-0.002799999999999997,"RHB_SPECIALIST, LHB_VULNERABLE"
2ed569a0,RD Chahar,137,6.7,17.13,8.0,0.0584,241,8.99,30.13,8.0,0.0332,-2.29,0.0252,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
5f547c8b,Rashid Khan,327,8.33,17.21,19.0,0.0581,524,9.35,29.11,18.0,0.0344,-1.0199999999999996,0.0237,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER, LHB_PRESSURE"
df064e1a,Ravi Bishnoi,235,8.86,18.08,13.0,0.0553,398,9.98,30.62,13.0,0.0327,-1.120000000000001,0.022600000000000002,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER, LHB_PRESSURE"
e94915e6,SM Curran,159,9.51,19.88,8.0,0.0503,299,11.2,19.93,15.0,0.0502,-1.6899999999999995,9.999999999999593e-05,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
1abb78f8,SN Thakur,191,11.03,21.22,9.0,0.0471,263,9.7,23.91,11.0,0.0418,1.33,0.005300000000000006,"RHB_SPECIALIST, LHB_VULNERABLE"
9d430b40,SP Narine,230,7.51,19.17,12.0,0.0522,500,7.52,29.41,17.0,0.034,-0.009999999999999787,0.0182,LHB_PRESSURE
ce820073,Sandeep Sharma,231,8.62,21.0,11.0,0.0476,342,9.33,14.87,23.0,0.0673,-0.7100000000000009,-0.019699999999999995,
9440ef41,Suyash Sharma,192,9.38,38.4,5.0,0.026,314,9.42,34.89,9.0,0.0287,-0.03999999999999915,-0.002700000000000001,
ce794613,T Natarajan,203,9.43,15.62,13.0,0.064,285,9.47,19.0,15.0,0.0526,-0.040000000000000924,0.0114,
a818c1be,TA Boult,269,8.41,16.81,16.0,0.0595,401,8.6,14.32,28.0,0.0698,-0.1899999999999995,-0.010300000000000004,
46a9bea1,TU Deshpande,246,10.29,22.36,11.0,0.0447,411,10.15,17.87,23.0,0.056,0.1399999999999988,-0.011300000000000004,
5ffc0565,V Nigam,77,8.96,19.25,4.0,0.0519,155,9.75,17.22,9.0,0.0581,-0.7899999999999991,-0.006199999999999997,
7c3b3b78,VG Arora,172,9.03,10.75,16.0,0.093,296,10.46,18.5,16.0,0.0541,-1.4300000000000015,0.0389,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER, LHB_PRESSURE"
54e52590,Vijaykumar Vyshak,106,10.53,21.2,5.0,0.0472,173,10.72,24.71,7.0,0.0405,-0.19000000000000128,0.006699999999999998,
f19ccfad,Washington Sundar,82,8.2,41.0,2.0,0.0244,76,10.42,25.33,3.0,0.0395,-2.2200000000000006,-0.015099999999999999,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
57ee1fde,YS Chahal,253,10.89,23.0,11.0,0.0435,474,8.19,16.34,29.0,0.0612,2.700000000000001,-0.0177,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
7210d461,Yash Dayal,281,10.74,25.55,11.0,0.0391,327,9.78,19.24,17.0,0.052,0.9600000000000009,-0.012899999999999995,
4b31f3a3,Yash Thakur,137,11.47,34.25,4.0,0.0292,244,11.36,14.35,17.0,0.0697,0.11000000000000121,-0.040499999999999994,RHB_WICKET_TAKER
